ID,name,Food Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fat,Calcium,Iron,Potassium,Magnesium,Vitamin A,Vitamin C,Vitamin B12,Vitamin E,Phosphorus,Sodium,Zinc,Copper,Manganese,Selenium,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Choline,Vitamin D,Vitamin K
169061,Gum Drops No Sugar Or Low Calorie (Sorbitol),Sweets,354.0,0.2,0.0,88.1,70.0,0.0,0.034,0,0.0,0,0,0,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0.0
167996,Halavah Plain,Sweets,469.0,21.52,12.49,60.49,0.0,4.5,4.127,33,4.53,187,218,0,0.1,0.04,0.0,607,195,4.32,1.202,0.873,11.5,0.424,0.08800000000000000,2.8560000000000000,0.348,65,0.0,0,0.0
789268,Halvah Chocolate Covered,Sweets,526.0,31.25,7.88,58.08,52.64,4.2,9.217,70,2.46,209,115,17,0.0,0.21,2.65,246,36,2.54,0.5330000000000000,0.0,11.1,0.228,0.11600000000000000,1.7370000000000000,0.122,36,20.1,0,3.0
789267,Halvah Plain,Sweets,522.0,31.87,7.98,57.56,53.08,4.5,5.603,24,2.51,145,135,1,0.0,0.0,3.48,260,19,2.63,0.55,0.0,13.7,0.273,0.045,2.262,0.156,45,10.0,0,2.0
167990,Hard Candy,Sweets,394.0,0.2,0.0,98.0,62.9,0.0,0.0,3,0.3,5,3,0,0.0,0.0,0.0,3,38,0.01,0.029000000000000000,0.01,0.6,0.004,0.003,0.007000000000000000,0.003,0,0.0,0,0.0
789194,Haupia,Sweets,272.0,20.41,1.98,23.57,14.72,2.0,18.094,14,1.45,226,32,0,2.4,0.0,0.13,87,83,0.58,0.23200000000000000,0.0,5.6,0.022000000000000000,0.002,0.65,0.028000000000000000,14,7.3,0,0.1
168801,Heath Bites,Sweets,530.0,30.38,3.94,63.39,60.02,2.0,15.62,86,0.78,210,6,0,0.8,0.0,0.0,71,245,0.11,0.03,0.0,0.0,0.02,0.11,0.09,0.0,1,0.0,0,0.0
169640,Honey,Sweets,304.0,0.0,0.3,82.4,82.12,0.2,0.0,6,0.42,52,2,0,0.5,0.0,0.0,4,4,0.22,0.036000000000000000,0.08,0.8,0.0,0.038,0.121,0.024,2,2.2,0,0.0
168809,Ice Creams Chocolate,Sweets,216.0,11.0,3.8,28.2,25.36,1.2,6.8,109,0.93,249,29,118,0.7,0.29,0.3,107,76,0.58,0.135,0.14,2.5,0.042,0.19400000000000000,0.226,0.055,16,22.5,8,0.3
167585,Ice Creams Chocolate Light,Sweets,187.0,7.19,5.0,25.7,24.71,0.8,4.38,159,0.69,170,20,71,1.2,0.14,0.2,83,71,0.43,0.10300000000000000,0.10100000000000000,2.2,0.023,0.129,0.126,0.023,4,19.6,5,0.6
